Density Matrices

state: 0.0     eng: 0.0     s(s+1): 3.6256     ms: 1.4496
-0.000966-0.005755j	-0.004766+0.000520j	0.000295+0.000110j	0.000494+0.000893j	0.000094+0.000029j	0.993759	 0.000009-0.000296j	0.012615-0.025935j	-0.002428+0.000465j	0.000123+0.000526j	-0.030849+0.015438j	0.001256-0.019212j	0.000004-0.000381j	-0.000464+0.000265j	
-0.000079-0.000011j	-0.000081-0.000045j	-0.001160-0.001539j	0.000276-0.000009j	0.000662+0.000509j	0.000009+0.000296j	0.987744	 0.000126-0.000539j	0.006517+0.039290j	-0.036654+0.021572j	-0.000468+0.001568j	0.000144-0.001975j	0.013821+0.069340j	-0.004901-0.001865j	
-0.056754+0.004067j	0.007199+0.024417j	0.000412-0.001047j	-0.022771-0.007470j	-0.000285-0.000267j	0.012615+0.025935j	0.000126+0.000539j	0.717469	 0.004244-0.000310j	-0.000288+0.000244j	0.068886+0.101837j	-0.078922+0.306652j	-0.000184+0.001567j	0.002327+0.000853j	
-0.000694-0.001121j	-0.000035-0.000584j	0.026171-0.004510j	-0.000010+0.001962j	-0.010042+0.002503j	-0.002428-0.000465j	0.006517-0.039290j	0.004244+0.000310j	0.804145	 -0.065871-0.020850j	-0.014965+0.000945j	0.014768+0.000776j	-0.144816+0.045493j	0.008027-0.016859j	
-0.000186+0.000383j	0.000412-0.000422j	0.009100+0.023415j	-0.000011-0.000137j	-0.000885-0.014093j	0.000123-0.000526j	-0.036654-0.021572j	-0.000288-0.000244j	-0.065871+0.020850j	0.647209	 0.003145-0.001014j	-0.001610+0.003080j	-0.125667+0.406711j	0.010067-0.008615j	
-0.015455-0.127474j	-0.005919-0.010353j	-0.000781+0.000003j	-0.004666+0.025985j	0.003219+0.000859j	-0.030849-0.015438j	-0.000468-0.001568j	0.068886-0.101837j	-0.014965-0.000945j	0.003145+0.001014j	0.298706	 0.087327+0.054905j	0.006216-0.000477j	-0.002535+0.004443j	
0.013832-0.058312j	-0.008104+0.007464j	0.001241+0.000362j	0.007698-0.051452j	-0.000839-0.000208j	0.001256+0.019212j	0.000144+0.001975j	-0.078922-0.306652j	0.014768-0.000776j	-0.001610-0.003080j	0.087327-0.054905j	0.410716	 -0.004253+0.000883j	0.000650+0.003016j	
0.000003+0.000654j	0.000699+0.000332j	-0.010324+0.013883j	0.000261-0.000012j	0.010507+0.001858j	0.000004+0.000381j	0.013821-0.069340j	-0.000184-0.001567j	-0.144816-0.045493j	-0.125667-0.406711j	0.006216+0.000477j	-0.004253-0.000883j	0.428843	 -0.004871+0.000343j	
0.001139-0.000344j	-0.000113-0.000179j	0.004631+0.034098j	0.000234+0.000114j	-0.004718+0.042770j	-0.000464-0.000265j	-0.004901+0.001865j	0.002327-0.000853j	0.008027+0.016859j	0.010067+0.008615j	-0.002535-0.004443j	0.000650-0.003016j	-0.004871-0.000343j	0.780825	 

state: 2.0     eng: 0.639417254755017     s(s+1): 3.5006     ms: 1.3906
0.973223	 0.002959-0.001238j	-0.000131-0.000073j	-0.006009-0.000328j	-0.000271+0.000321j	0.003115-0.004023j	0.000249-0.000026j	0.016829+0.019386j	0.000801-0.002152j	0.000739+0.000255j	0.016480+0.065762j	-0.008294+0.055028j	-0.000060-0.000186j	-0.001260-0.001263j	
0.002959+0.001238j	0.991634	 -0.000103-0.000045j	-0.000426-0.004701j	-0.000186+0.000032j	-0.001031-0.000823j	0.000058+0.000049j	0.003550-0.023217j	-0.000547-0.000255j	0.000274-0.000335j	-0.005649-0.010036j	-0.001430-0.005958j	-0.000144-0.000354j	0.000118-0.000916j	
-0.000131+0.000073j	-0.000103+0.000045j	0.988495	 0.000017-0.000034j	-0.013753+0.001889j	-0.000253+0.000070j	0.003355-0.004933j	-0.000339-0.001788j	-0.026148-0.009598j	0.008833-0.004924j	0.000530+0.000493j	-0.001092+0.000162j	-0.016055-0.017556j	-0.003915-0.076979j	
-0.006009+0.000328j	-0.000426+0.004701j	0.000017+0.000034j	0.994106	 -0.000019-0.000062j	0.000723+0.000986j	-0.000168-0.000007j	-0.012788+0.004541j	-0.000235+0.000947j	-0.000274-0.000030j	-0.000618+0.011306j	0.003518+0.027138j	-0.000064+0.000271j	-0.000195-0.000139j	
-0.000271-0.000321j	-0.000186-0.000032j	-0.013753-0.001889j	-0.000019+0.000062j	0.972688	 -0.000228-0.000001j	0.001554+0.006776j	0.000247-0.001792j	0.032134+0.004969j	0.002154+0.013144j	-0.002286+0.000439j	0.000009+0.000499j	-0.005825-0.009002j	0.006223-0.122415j	
0.003115+0.004023j	-0.001031+0.000823j	-0.000253-0.000070j	0.000723-0.000986j	-0.000228+0.000001j	0.990188	 0.000097+0.000233j	-0.010140-0.034590j	0.001292-0.000405j	-0.000111+0.000096j	0.028653-0.012548j	-0.024489+0.001420j	-0.000059-0.000074j	0.000404-0.001335j	
0.000249+0.000026j	0.000058-0.000049j	0.003355+0.004933j	-0.000168+0.000007j	0.001554-0.006776j	0.000097-0.000233j	0.980236	 0.000283+0.000273j	-0.010232+0.094503j	-0.033775+0.009836j	0.000465-0.002461j	-0.000098+0.001392j	0.003309+0.040691j	0.003287+0.009343j	
0.016829-0.019386j	0.003550+0.023217j	-0.000339+0.001788j	-0.012788-0.004541j	0.000247+0.001792j	-0.010140+0.034590j	0.000283-0.000273j	0.786843	 -0.000961+0.001993j	0.002015-0.000930j	-0.046624-0.095280j	-0.051468+0.111238j	-0.001247-0.002654j	-0.010887-0.001405j	
0.000801+0.002152j	-0.000547+0.000255j	-0.026148+0.009598j	-0.000235-0.000947j	0.032134-0.004969j	0.001292+0.000405j	-0.010232-0.094503j	-0.000961-0.001993j	0.430867	 -0.000163-0.003771j	0.013212-0.002105j	-0.005472-0.000421j	0.015940-0.004590j	0.006267-0.034231j	
0.000739-0.000255j	0.000274+0.000335j	0.008833+0.004924j	-0.000274+0.000030j	0.002154-0.013144j	-0.000111-0.000096j	-0.033775-0.009836j	0.002015+0.000930j	-0.000163+0.003771j	0.657675	 -0.000168-0.002006j	-0.000279-0.002517j	-0.105417+0.412451j	0.082759+0.038176j	
0.016480-0.065762j	-0.005649+0.010036j	0.000530-0.000493j	-0.000618-0.011306j	-0.002286-0.000439j	0.028653+0.012548j	0.000465+0.002461j	-0.046624+0.095280j	0.013212+0.002105j	-0.000168+0.002006j	0.730957	 -0.003155-0.056127j	0.000578-0.000706j	0.002525-0.005553j	
-0.008294-0.055028j	-0.001430+0.005958j	-0.001092-0.000162j	0.003518-0.027138j	0.000009-0.000499j	-0.024489-0.001420j	-0.000098-0.001392j	-0.051468-0.111238j	-0.005472+0.000421j	-0.000279+0.002517j	-0.003155+0.056127j	0.679418	 0.001820-0.000293j	0.003151-0.005743j	
-0.000060+0.000186j	-0.000144+0.000354j	-0.016055+0.017556j	-0.000064-0.000271j	-0.005825+0.009002j	-0.000059+0.000074j	0.003309-0.040691j	-0.001247+0.002654j	0.015940+0.004590j	-0.105417-0.412451j	0.000578+0.000706j	0.001820+0.000293j	0.441678	 -0.068094+0.004244j	
-0.001260+0.001263j	0.000118+0.000916j	-0.003915+0.076979j	-0.000195+0.000139j	0.006223+0.122415j	0.000404+0.001335j	0.003287-0.009343j	-0.010887+0.001405j	0.006267+0.034231j	0.082759-0.038176j	0.002525+0.005553j	0.003151+0.005743j	-0.068094-0.004244j	0.381993	 

state: 3.0     eng: 0.7162156260772008     s(s+1): 3.5928     ms: 1.4238
0.991865	 -0.002194+0.002060j	0.000031+0.000039j	0.000466+0.000820j	0.000068+0.000033j	-0.002489+0.002118j	0.000060+0.000017j	-0.028916-0.021145j	0.000040-0.000084j	-0.000436-0.000283j	-0.006547+0.029123j	-0.004001+0.020147j	-0.000051-0.000210j	-0.000065+0.000274j	
-0.002194-0.002060j	0.993260	 0.000071-0.000018j	-0.000731+0.000461j	0.000200+0.000020j	-0.005886-0.000294j	-0.000029-0.000149j	-0.005915-0.044200j	-0.000533+0.000193j	0.000005+0.000037j	-0.016162+0.008803j	-0.015986+0.005876j	-0.000169-0.000126j	0.000016+0.000587j	
0.000031-0.000039j	0.000071+0.000018j	0.983385	 0.000017-0.000041j	-0.010431-0.000300j	0.000287-0.000017j	-0.000289+0.001299j	0.000056+0.001348j	-0.001071+0.006520j	-0.006984-0.039959j	0.000300+0.000046j	0.000421-0.000372j	-0.030076-0.002249j	-0.003088-0.067195j	
0.000466-0.000820j	-0.000731-0.000461j	0.000017+0.000041j	0.993585	 0.000053-0.000035j	-0.000003-0.001842j	0.000096-0.000020j	-0.000564-0.003869j	-0.000303-0.000440j	0.000204-0.000025j	-0.005759-0.024193j	-0.003734+0.034120j	0.000084-0.000169j	-0.000028+0.000108j	
0.000068-0.000033j	0.000200-0.000020j	-0.010431+0.000300j	0.000053+0.000035j	0.982380	 0.000089+0.000036j	-0.000201-0.000924j	0.000374+0.001523j	-0.009895-0.001674j	-0.012234-0.003970j	0.000225-0.000355j	0.000984-0.000407j	-0.014948+0.009075j	0.000520-0.080211j	
-0.002489-0.002118j	-0.005886+0.000294j	0.000287+0.000017j	-0.000003+0.001842j	0.000089-0.000036j	0.994123	 0.000027-0.000157j	-0.008153-0.041576j	0.000280-0.000060j	-0.000277+0.000333j	-0.020974+0.012958j	-0.007379+0.004454j	-0.000382-0.000070j	0.000279+0.001024j	
0.000060-0.000017j	-0.000029+0.000149j	-0.000289-0.001299j	0.000096+0.000020j	-0.000201+0.000924j	0.000027+0.000157j	0.985152	 -0.001060-0.000317j	-0.004324+0.065203j	-0.010484+0.008531j	-0.000093-0.000005j	0.000075-0.000163j	-0.004499+0.052607j	-0.014238-0.006546j	
